# Generated by cybertek605/cybertek-threat-intel
# Updated    : 2026-04-11T05:48:02
# Format     : score<TAB>ip_address
# Score      : number of independent source lists containing this IP (max 9)
# Severity   : score=1 -> Warning | score>=2 -> Critical
# Entries    : 25234
3	100.26.45.212
3	100.28.191.174
3	100.51.6.16
3	100.53.78.176
3	100.55.66.68
3	100.55.74.138
3	103.121.90.95
3	103.174.50.62
3	103.214.219.39
3	103.233.24.205
3	103.247.61.20
3	103.31.82.141
3	104.243.32.235
3	104.243.35.94
3	104.248.51.150
3	104.248.51.5
3	104.248.64.10
3	107.151.247.45
3	109.105.209.12
3	109.105.209.14
3	109.105.209.32
3	109.105.209.33
3	109.105.209.34
3	109.105.209.35
3	109.105.210.57
3	109.105.210.59
3	109.105.210.60
3	109.105.210.64
3	109.105.210.65
3	109.105.210.77
3	110.164.130.199
3	111.123.41.235
3	115.29.34.90
3	118.193.32.88
3	118.193.47.114
3	118.193.64.186
3	118.193.65.209
3	118.193.69.177
3	118.194.236.137
3	118.194.250.31
3	118.26.37.105
3	119.145.34.60
3	122.114.225.154
3	122.14.154.237
3	122.176.162.110
3	122.96.28.143
3	123.56.157.254
3	123.58.200.21
3	128.14.236.224
3	128.14.237.43
3	128.14.239.39
3	128.199.0.170
3	128.203.200.182
3	128.203.200.49
3	128.203.202.236
3	13.218.167.231
3	13.218.22.63
3	13.219.1.233
3	13.221.151.82
3	13.221.239.87
3	13.222.161.63
3	13.222.168.56
3	13.222.179.236
3	13.222.238.246
3	13.222.242.22
3	13.222.246.187
3	13.222.29.88
3	13.86.104.14
3	13.86.113.121
3	13.86.113.214
3	13.86.115.177
3	13.86.115.189
3	13.86.115.97
3	13.89.121.92
3	13.89.124.211
3	13.89.124.213
3	13.89.124.215
3	13.89.124.216
3	13.89.125.18
3	13.89.125.229
3	13.89.125.23
3	13.89.125.24
3	13.89.125.252
3	13.89.125.254
3	13.89.125.27
3	13.89.125.30
3	130.131.161.148
3	134.209.186.164
3	134.209.222.43
3	135.119.112.78
3	135.119.16.163
3	135.119.16.170
3	135.119.89.57
3	135.119.96.127
3	135.119.96.21
3	135.222.40.122
3	135.233.112.94
3	135.233.96.197
3	135.237.125.201
3	135.237.125.26
3	135.237.126.194
3	135.237.126.202
3	135.237.126.41
3	135.237.126.88
3	135.237.127.207
3	135.237.127.68
3	136.116.35.85
3	137.184.170.37
3	137.184.207.223
3	137.184.78.212
3	138.124.186.207
3	138.197.46.110
3	139.162.117.40
3	139.162.119.61
3	14.225.209.224
3	14.96.237.189
3	142.248.80.163
3	142.248.80.38
3	142.93.167.198
3	143.244.152.105
3	144.31.81.21
3	146.190.218.245
3	147.182.193.178
3	147.185.132.100
3	147.185.132.105
3	147.185.132.108
3	147.185.132.111
3	147.185.132.112
3	147.185.132.116
3	147.185.132.117
3	147.185.132.120
3	147.185.132.123
3	147.185.132.129
3	147.185.132.135
3	147.185.132.138
3	147.185.132.141
3	147.185.132.143
3	147.185.132.153
3	147.185.132.156
3	147.185.132.159
3	147.185.132.161
3	147.185.132.168
3	147.185.132.171
3	147.185.132.177
3	147.185.132.178
3	147.185.132.195
3	147.185.132.198
3	147.185.132.201
3	147.185.132.204
3	147.185.132.210
3	147.185.132.212
3	147.185.132.218
3	147.185.132.22
3	147.185.132.234
3	147.185.132.243
3	147.185.132.254
3	147.185.132.27
3	147.185.132.29
3	147.185.132.31
3	147.185.132.33
3	147.185.132.37
3	147.185.132.39
3	147.185.132.40
3	147.185.132.42
3	147.185.132.45
3	147.185.132.48
3	147.185.132.49
3	147.185.132.51
3	147.185.132.52
3	147.185.132.55
3	147.185.132.57
3	147.185.132.60
3	147.185.132.61
3	147.185.132.67
3	147.185.132.70
3	147.185.132.72
3	147.185.132.73
3	147.185.132.75
3	147.185.132.79
3	147.185.132.81
3	147.185.132.82
3	147.185.132.87
3	147.185.132.90
3	147.185.132.93
3	147.185.132.94
3	147.185.132.97
3	147.185.132.99
3	147.185.133.101
3	147.185.133.113
3	147.185.133.127
3	147.185.133.129
3	147.185.133.152
3	147.185.133.168
3	147.185.133.171
3	147.185.133.174
3	147.185.133.177
3	147.185.133.198
3	147.185.133.21
3	147.185.133.213
3	147.185.133.226
3	147.185.133.3
3	152.32.128.149
3	152.32.130.155
3	152.32.131.245
3	152.32.140.12
3	152.32.149.118
3	152.32.149.246
3	152.32.150.7
3	152.32.151.121
3	152.32.156.158
3	152.32.159.177
3	152.32.159.79
3	152.32.164.139
3	152.32.185.141
3	152.32.197.159
3	152.32.198.168
3	152.32.198.93
3	152.32.199.73
3	152.32.200.22
3	152.32.206.181
3	152.32.206.246
3	152.32.206.35
3	152.32.207.172
3	152.32.207.88
3	152.32.209.62
3	152.32.219.77
3	152.32.225.11
3	152.32.235.96
3	154.197.56.163
3	154.23.141.98
3	154.72.193.246
3	156.232.100.95
3	158.160.217.206
3	159.223.189.59
3	159.65.70.164
3	16.58.56.214
3	161.35.50.255
3	162.216.149.117
3	162.216.149.124
3	162.216.149.146
3	162.216.149.156
3	162.216.149.158
3	162.216.149.167
3	162.216.149.169
3	162.216.149.174
3	162.216.149.181
3	162.216.149.203
3	162.216.149.205
3	162.216.149.217
3	162.216.149.244
3	162.216.149.245
3	162.216.149.26
3	162.216.149.29
3	162.216.149.41
3	162.216.149.50
3	162.216.149.67
3	162.216.149.71
3	162.216.149.72
3	162.216.149.75
3	162.216.150.102
3	162.216.150.103
3	162.216.150.104
3	162.216.150.139
3	162.216.150.142
3	162.216.150.150
3	162.216.150.168
3	162.216.150.172
3	162.216.150.197
3	162.216.150.203
3	162.216.150.208
3	162.216.150.209
3	162.216.150.216
3	162.216.150.228
3	162.216.150.34
3	162.216.150.48
3	162.216.150.54
3	162.216.150.56
3	162.216.150.62
3	162.216.150.74
3	162.216.150.78
3	162.216.150.89
3	162.216.150.99
3	162.243.117.147
3	162.243.92.74
3	162.243.94.114
3	165.154.10.165
3	165.154.10.250
3	165.154.128.199
3	165.154.129.188
3	165.154.138.107
3	165.154.138.165
3	165.154.164.92
3	165.154.172.72
3	165.154.179.62
3	165.154.182.154
3	165.154.36.177
3	165.154.41.13
3	165.154.41.213
3	165.154.59.118
3	165.227.84.111
3	167.94.146.48
3	167.94.146.50
3	167.94.146.55
3	167.94.146.57
3	167.94.146.58
3	167.94.146.60
3	167.94.146.62
3	167.94.146.63
3	167.99.13.19
3	169.239.181.81
3	170.187.158.64
3	170.64.130.197
3	172.105.197.151
3	172.174.225.60
3	172.178.115.138
3	172.202.104.157
3	172.202.114.25
3	172.202.117.124
3	172.202.117.179
3	172.202.118.69
3	172.202.122.207
3	172.208.24.40
3	172.210.67.69
3	172.212.224.104
3	172.236.211.11
3	173.255.236.134
3	174.66.113.103
3	175.30.48.151
3	176.117.184.152
3	176.32.193.16
3	177.10.108.233
3	177.36.187.95
3	178.214.77.72
3	178.62.224.209
3	178.83.200.2
3	178.83.200.3
3	178.91.138.3
3	18.206.252.118
3	18.207.114.178
3	18.209.56.12
3	18.215.159.152
3	180.103.117.65
3	180.76.172.156
3	184.105.247.196
3	184.105.247.252
3	184.105.247.254
3	185.107.80.93
3	185.217.188.132
3	185.217.188.134
3	185.226.197.42
3	185.226.197.43
3	185.226.197.45
3	185.226.197.48
3	185.226.197.49
3	185.226.197.50
3	185.226.197.62
3	185.226.197.64
3	185.226.197.9
3	185.226.198.4
3	185.226.198.5
3	185.226.198.6
3	185.226.198.7
3	185.242.226.17
3	185.242.226.18
3	185.242.226.19
3	185.242.226.33
3	185.242.226.58
3	185.242.3.253
3	185.70.189.82
3	185.87.252.96
3	185.91.127.85
3	186.67.30.94
3	187.191.2.214
3	189.150.166.105
3	190.167.20.56
3	193.176.31.147
3	193.176.31.150
3	193.176.31.152
3	193.176.31.153
3	194.164.107.4
3	194.164.107.5
3	194.164.107.6
3	194.165.16.163
3	194.165.16.165
3	194.165.16.166
3	194.187.179.111
3	194.187.179.52
3	194.88.98.82
3	194.88.98.83
3	194.88.98.84
3	194.88.98.85
3	194.88.98.86
3	194.88.98.87
3	194.88.98.88
3	194.88.98.89
3	194.88.98.91
3	194.88.98.92
3	194.88.98.93
3	194.88.98.94
3	195.140.214.19
3	195.140.214.20
3	195.140.214.22
3	195.184.76.101
3	195.184.76.103
3	195.184.76.110
3	195.184.76.123
3	195.184.76.124
3	195.184.76.126
3	195.184.76.14
3	195.184.76.155
3	195.184.76.225
3	195.184.76.230
3	195.184.76.231
3	195.184.76.235
3	195.184.76.28
3	195.211.191.112
3	195.82.13.148
3	196.202.19.226
3	198.211.105.210
3	199.45.154.120
3	199.45.155.65
3	199.45.155.67
3	199.45.155.96
3	2.26.61.107
3	2.27.9.41
3	2.59.22.234
3	20.102.42.78
3	20.106.206.47
3	20.106.32.153
3	20.106.49.2
3	20.106.56.125
3	20.106.56.86
3	20.106.57.131
3	20.118.200.9
3	20.118.209.32
3	20.118.216.53
3	20.118.217.143
3	20.118.217.181
3	20.118.225.19
3	20.118.227.29
3	20.118.241.146
3	20.118.32.235
3	20.118.32.47
3	20.119.86.71
3	20.12.240.184
3	20.127.155.221
3	20.127.224.63
3	20.127.244.253
3	20.14.73.1
3	20.14.73.168
3	20.14.73.198
3	20.14.73.238
3	20.14.75.6
3	20.14.78.26
3	20.14.79.120
3	20.14.79.82
3	20.14.80.89
3	20.14.89.71
3	20.14.90.84
3	20.14.93.87
3	20.14.94.72
3	20.15.160.31
3	20.15.162.215
3	20.15.162.238
3	20.15.163.139
3	20.15.163.174
3	20.15.163.245
3	20.15.164.37
3	20.15.200.100
3	20.15.201.69
3	20.15.224.207
3	20.150.192.39
